iid1	iid2	max_ibd	sum_ibd_8	n_ibd_8	sum_ibd_12	n_ibd_12	sum_ibd_16	n_ibd_16	sum_ibd_20	n_ibd_20	frac_gp1	frac_gp2
RKC028	RKC038	283.6109	3326.9803200000006	20	3326.9803200000006	20	3326.9803200000006	20	3326.9803200000006	20	0.9073184265950336	0.914607846846506
RKC007	RKC009	283.3339	3326.810266124878	21	3326.810266124878	21	3326.810266124878	21	3326.810266124878	21	0.8689669958256088	0.8899776777269116
RKF196	RKF121	283.6109	3321.6851052314382	21	3321.6851052314382	21	3321.6851052314382	21	3321.6851052314382	21	0.8742133605740734	0.8931431526112015
KFJ007	KFJ006	283.2824	3321.587580000001	20	3321.587580000001	20	3321.587580000001	20	3321.587580000001	20	0.8694336196133329	0.9008865851966756
RKC047	RKC039	268.781	3319.621689229088	26	3319.621689229088	26	3319.621689229088	26	3319.621689229088	26	0.8680463597038831	0.9075075984008676
HNJ003	HNJ025	223.2484	3319.4697201295853	24	3319.4697201295853	24	3319.4697201295853	24	3319.4697201295853	24	0.8767987085871388	0.9005460759461743
RKF142	RKC023	279.841	3317.048167557526	21	3317.048167557526	21	3317.048167557526	21	3317.048167557526	21	0.8843655808205012	0.918340837148298
RKF148	RKF147	268.781	3315.9757097725683	22	3315.9757097725683	22	3315.9757097725683	22	3315.9757097725683	22	0.8562924848347269	0.8881237940297378
RKF196	RKF194	283.6442	3313.333912330628	22	3313.333912330628	22	3313.333912330628	22	3313.333912330628	22	0.8742133605740734	0.903333207218796
RKF043	RKF046	268.7948	3311.407861171874	21	3311.407861171874	21	3311.407861171874	21	3311.407861171874	21	0.873683679517738	0.911997275925996
KFJ007	KFJ011	283.6522	3311.2406944248205	20	3311.2406944248205	20	3311.2406944248205	20	3311.2406944248205	20	0.8694336196133329	0.9180633851664082
RKF042	RKF209	283.58910000000003	3307.9190945962523	26	3296.1848950723265	25	3296.1848950723265	25	3296.1848950723265	25	0.8349412936829228	0.8416758099706153
RKC024	RKC012	283.56571	3306.809004975403	22	3306.809004975403	22	3306.809004975403	22	3306.809004975403	22	0.820501179170923	0.8967500283757709
RKF148	RKF237	283.5924	3305.5167033175508	24	3305.5167033175508	24	3305.5167033175508	24	3305.5167033175508	24	0.8562924848347269	0.8981751226463874
RKF010	RKF042	280.8464	3303.4361005687715	26	3303.4361005687715	26	3288.442200568771	25	3288.442200568771	25	0.821850604719206	0.8349412936829228
RKC035	RKC032	268.781	3303.426270664596	21	3303.426270664596	21	3303.426270664596	21	3303.426270664596	21	0.8932692671484243	0.9009748653727316
RKF018	RKF020	268.781	3302.0137879666145	21	3302.0137879666145	21	3302.0137879666145	21	3302.0137879666145	21	0.8558636954081696	0.8534044619323269
RKF120	RKF023	283.6442	3301.964177430294	23	3301.964177430294	23	3301.964177430294	23	3301.964177430294	23	0.8093778769878804	0.8495075227321454
RKF139	RKF157	283.3851	3300.352368964692	21	3300.352368964692	21	3300.352368964692	21	3300.352368964692	21	0.8723973112380664	0.921228860050698
RKF113	RKF116	283.31602	3300.3255862412566	26	3300.3255862412566	26	3300.3255862412566	26	3283.971478384506	25	0.8159484443771834	0.8661294187380979
RKF014	RKC028	280.8649	3300.2627896160966	21	3300.2627896160966	21	3300.2627896160966	21	3300.2627896160966	21	0.8685255949453293	0.9073184265950336
RKF034	RKF213	268.781	3299.3986088959737	21	3299.3986088959737	21	3299.3986088959737	21	3299.3986088959737	21	0.8514370751516527	0.8949970363083752
RKF218	RKF020	283.6522	3297.864411613205	28	3297.864411613205	28	3282.984421989182	27	3282.984421989182	27	0.7906750911177531	0.8534044619323269
RKF042	RKF016	283.6109	3296.2341844230277	21	3296.2341844230277	21	3296.2341844230277	21	3296.2341844230277	21	0.8349412936829228	0.8520802592914886
RKF140	RKF014	283.6442	3296.035382790535	26	3296.035382790535	26	3296.035382790535	26	3296.035382790535	26	0.7660953678130478	0.8685255949453293
RKF010	RKF028	268.81170000000003	3294.732300044373	27	3294.732300044373	27	3294.732300044373	27	3294.732300044373	27	0.821850604719206	0.8328225694575814
RKF153	RKF155	268.781	3291.9992900852967	22	3291.9992900852967	22	3291.9992900852967	22	3291.9992900852967	22	0.8666212654332665	0.8712748918567843
KUP009	KUP018	277.2125	3291.5016727871707	21	3291.5016727871707	21	3291.5016727871707	21	3291.5016727871707	21	0.8417767016003935	0.8882372971132383
RKC024	RKC028	283.3851	3282.107380721741	24	3282.107380721741	24	3282.107380721741	24	3282.107380721741	24	0.820501179170923	0.9073184265950336
RKF140	RKF238	248.3336	3280.2688064883805	29	3280.2688064883805	29	3280.2688064883805	29	3262.43410648838	28	0.7660953678130478	0.8913144918214723
RKF042	RKF142	279.9181	3279.465792690414	25	3279.465792690414	25	3279.465792690414	25	3279.465792690414	25	0.8349412936829228	0.8843655808205012
KFJ039	KFJ029	283.56571	3277.750814965809	29	3277.750814965809	29	3277.750814965809	29	3259.8424149658085	28	0.7446432850314656	0.8771392178376402
RKF140	RKF209	278.9815	3274.7237560936787	30	3256.541064902035	28	3241.4148604113725	27	3241.4148604113725	27	0.7660953678130478	0.8416758099706153
RKF207	RKF147	223.2408	3272.76258581868	24	3272.76258581868	24	3272.76258581868	24	3272.76258581868	24	0.7671925642868853	0.8881237940297378
RKF158	RKF151	268.781	3271.8042694554138	25	3271.8042694554138	25	3259.026666782837	24	3259.026666782837	24	0.7125345238545647	0.8511974575309296
RKF164	RKF181	223.2484	3269.6865853175814	27	3250.864184450501	25	3250.864184450501	25	3232.0373898261723	24	0.7855926752676781	0.834298109543087
RKF172	RKF173	267.9642	3268.9403194961164	22	3268.9403194961164	22	3268.9403194961164	22	3268.9403194961164	22	0.7945972532253793	0.8339071544776967
RKF163	RKF164	283.6109	3262.881364479633	34	3262.881364479633	34	3262.881364479633	34	3262.881364479633	34	0.6917886824814297	0.7855926752676781
RKC035	RKC031	280.8464	3260.1699314665148	20	3260.1699314665148	20	3260.1699314665148	20	3260.1699314665148	20	0.8932692671484243	0.913119695307278
RKF050	RKF175	257.8423023223877	3253.0725719301645	27	3253.0725719301645	27	3253.0725719301645	27	3253.0725719301645	27	0.6935038401876584	0.810197621479828
RKF011	RKF099	223.2374	3250.1904739101983	25	3250.1904739101983	25	3235.358275290356	24	3235.358275290356	24	0.707653891264046	0.7340622753584806
RKF218	RKF042	268.78788	3250.029383388214	26	3250.029383388214	26	3235.643885818176	25	3235.643885818176	25	0.7906750911177531	0.8349412936829228
RKF036	RKF031	283.6109	3249.457285567947	31	3230.212888881393	29	3217.8064800946195	28	3199.755177661606	27	0.7646450506349867	0.8852357711273379
KFJ009	KFJ040	283.3851	3248.672180709831	28	3248.672180709831	28	3248.672180709831	28	3248.672180709831	28	0.722384069211658	0.8897002257450216
RKF207	RKF237	268.781	3248.0387630399773	29	3248.0387630399773	29	3248.0387630399773	29	3210.355466836365	27	0.7671925642868853	0.8981751226463874
RKF067	RKF129	267.8305	3244.965586324798	24	3244.965586324798	24	3244.965586324798	24	3244.965586324798	24	0.7936766171036536	0.8947195843264854
RKF036	RKF153	268.781	3243.014998971188	28	3243.014998971188	28	3243.014998971188	28	3243.014998971188	28	0.7646450506349867	0.8666212654332665
RKC019	RKC020	214.19399	3241.3195858382837	26	3241.3195858382837	26	3225.648885838284	25	3225.648885838284	25	0.751188629513324	0.9128674662328328
