iid1	iid2	max_IBD	sum_IBD>8	n_IBD>8	sum_IBD>12	n_IBD>12	sum_IBD>16	n_IBD>16	sum_IBD>20	n_IBD>20
RKC033	RKF031	28.00880074501037	41.76200055517255	2	41.76200055517255	2	28.00880074501037	1	28.00880074501037	1
RKF029	RKF238	41.75969660282135	41.75969660282135	1	41.75969660282135	1	41.75969660282135	1	41.75969660282135	1
RKF231	RKF213	16.8254017829895	41.7046010494232	3	32.265901565551744	2	16.8254017829895	1	0	0
RKC029	RKC014	28.52950096130371	41.65870547294616	2	41.65870547294616	2	28.52950096130371	1	28.52950096130371	1
RKC033	RKF046	41.56930148601532	41.56930148601532	1	41.56930148601532	1	41.56930148601532	1	41.56930148601532	1
RKF053	RKF226	17.97209978103637	41.5443956851959	3	30.34499883651732	2	17.97209978103637	1	0	0
KFJ046	KFJ008	22.89490103721618	41.4748042821884	3	22.89490103721618	1	22.89490103721618	1	22.89490103721618	1
RKF234	RKF226	41.44690036773681	41.44690036773681	1	41.44690036773681	1	41.44690036773681	1	41.44690036773681	1
RKF020	RKF031	16.01479649543762	41.31949964794329	3	30.079696810571463	2	16.01479649543762	1	0	0
RKF020	RKF155	18.84740032255649	41.30419950815848	3	32.912300637690336	2	18.84740032255649	1	0	0
RKF049	RKF120	16.26099348068237	41.28479184582828	3	29.99949157238006	2	16.26099348068237	1	0	0
RKF136	RKF109	21.4043989777565	41.27429276704788	2	41.27429276704788	2	41.27429276704788	2	21.4043989777565	1
RKC030	RKF213	32.67699778079986	41.19189768098294	2	32.67699778079986	1	32.67699778079986	1	32.67699778079986	1
RKC033	RKF013	32.28009343147278	40.98458886146545	2	32.28009343147278	1	32.28009343147278	1	32.28009343147278	1
RKC047	RKF139	40.93649387359619	40.93649387359619	1	40.93649387359619	1	40.93649387359619	1	40.93649387359619	1
RKF104	RKC009	20.9367036819458	40.83410501480102	2	40.83410501480102	2	40.83410501480102	2	20.9367036819458	1
RKF172	RKF129	40.69690108299255	40.69690108299255	1	40.69690108299255	1	40.69690108299255	1	40.69690108299255	1
RKF158	RKC016	40.62250256538391	40.62250256538391	1	40.62250256538391	1	40.62250256538391	1	40.62250256538391	1
KUP026	KFJ029	10.92429161071777	40.61278700828549	4	0	0	0	0	0	0
RKF118	RKF015	28.332799300551407	40.58729968965053	2	40.58729968965053	2	28.332799300551407	1	28.332799300551407	1
RKF010	RKC045	32.14139342308044	40.47928452491759	2	32.14139342308044	1	32.14139342308044	1	32.14139342308044	1
KUP024	KFJ008	12.12350130081176	40.23719727993009	4	12.12350130081176	1	0	0	0	0
RKF032	RKC023	24.51840043067932	40.230697393417344	2	40.230697393417344	2	24.51840043067932	1	24.51840043067932	1
